 Côte d'Ivoire,168,148.1,138.3,137.4,137.5,137.1 hhhh,136.7 hhhh,136.3 hhhh,135.9 hhhh,135.5 hhh
 Denmark,9.2,8.9,8,6.6,5.9,5.5 hhhh,5.1 hhhh,4.8 hhhh,4.4 hhhh,4.0 hhh
 Djibouti,50,45.5,36.4,30.9,26.4,25.4 hhhh,24.4 hhhh,23.5 hhhh,22.5 hhhh,21.5 hhh
 Dominican Republic,110.2,114.3,111,109.6,108.7,106.5 hhhh,104.4 hhhh,102.2 hhhh,100.0 hhhh,97.9 hhh
 Ecuador,88.7,85.5,84.3,82.5,83,81.6 hhhh,80.2 hhhh,78.7 hhhh,77.3 hhhh,75.9 hhh
 Egypt,86.1,79.9,57.2,52.5,48.7,49.3 hhhh,50.0 hhhh,50.6 hhhh,51.2 hhhh,51.9 hhh
 El Salvador,108.2,98.7,91.1,85.3,76.7,74.4 hhhh,72.1 hhhh,69.8 hhhh,67.5 hhhh,65.2 hhh
 Equatorial Guinea,134.4,134.4,133.9,128.8,122.9,120.0 hhhh,117.2 hhhh,114.3 hhhh,111.5 hhhh,108.7 hhh
 Eritrea,113.4,108.2,97.9,82.4,76.1,71.7 hhhh,67.4 hhhh,63.0 hhhh,58.7 hhhh,54.3 hhh
 Estonia,44.5,47.1,30.4,23.5,22.6,20.7 hhhh,18.8 hhhh,16.9 hhhh,15.0 hhhh,13.1 hhh
 Ethiopia,119.3,117.7,117.5,105.2,83.6,78.5 hhhh,73.5 hhhh,68.4 hhhh,63.4 hhhh,58.4 hhh
 Fiji,63.3,62.9,45.5,41.2,45.2,45.2 hhhh,45.1 hhhh,45.0 hhhh,44.9 hhhh,44.8 hhh
 Finland,12.7,11.4,9.5,10.6,9.2,8.7 hhhh,8.1 hhhh,7.6 hhhh,7.1 hhhh,6.5 hhh
 France,13.7,11,9.8,10.8,10,9.8 hhhh,9.6 hhhh,9.4 hhhh,9.1 hhhh,8.9 hhh
 Gabon,199.1,181.4,161.3,138.5,123.7,119.0 hhhh,114.2 hhhh,109.5 hhhh,104.7 hhhh,99.9 hhh
 Gambia,179.2,153.2,133.6,117.2,116,115.4 hhhh,114.8 hhhh,114.2 hhhh,113.6 hhhh,113.0 hhh
 Georgia,76.1,68.9,60.5,48.4,50.8,48.6 hhhh,46.3 hhhh,44.1 hhhh,41.9 hhhh,39.7 hhh
 Germany,17,15.9,13.1,12.4,9.8,9.2 hhhh,8.5 hhhh,7.9 hhhh,7.3 hhhh,6.7 hhh
 Ghana,118,103.9,87.1,77.4,71,70.1 hhhh,69.3 hhhh,68.5 hhhh,67.6 hhhh,66.8 hhh
 Greece,29.1,17.3,11.6,10.5,11.7,10.8 hhhh,10.0 hhhh,9.1 hhhh,8.3 hhhh,7.5 hhh
 Grenada,99.2,83.5,61.5,51.2,42.4,40.0 hhhh,37.7 hhhh,35.3 hhhh,32.9 hhhh,30.5 hhh
