 Swaziland,,9.9,9.5,10.2,11.6,11.8,11.8,11.8,11.8,11.8 qqq
 Sweden,12.7,15.1,17.2,15.2,15.2,15.1,15.1,15.1,15.1,15.1 qqq
 Switzerland,13.9,15.1,15.6,15.5,15.7,15.8,15.9,16,16.1,16.1 qqq
 Syrian Arab Republic,11.2,10.3,10.5,11.7,12.2,12.6,13.1,9,9,9.0 qqq
 Tajikistan,,11.2,10.6,11.7,11.9,11.9,11.9,11.9,11.9,11.9 qqq
 Tanzania (United Republic of),5.6,5.5,6.4,7.8,9.2,9.2,9.2,8.5,8.9,9.3 qqq
 Thailand,8.5,9.8,11.2,12.2,12.9,13.3,13.2,13.1,13.1,13.1 qqq
 The former Yugoslav Republic of Macedonia,10.3,11,11.8,12,12.9,12.9,12.8,12.8,12.8,12.8 qqq
 Timor-Leste,,,,11.4,13.7,13.7,13.7,13.7,13.7,13.7 qqq
 Togo,9.8,10.5,11.4,11.8,12.3,12.5,12.7,12.9,13.1,13.1 qqq
 Tonga,,13.4,13.4,14.3,14.1,14.1,14.1,14,14,14.0 qqq
 Trinidad and Tobago,11.1,11.2,11.7,12,12.2,12.2,12.3,12.3,12.3,12.3 qqq
 Tunisia,11.5,12.1,13.1,13.9,14,14.2,14.2,14.2,14.2,14.2 qqq
 Turkey,10.1,10.8,12.4,12.8,14.4,14.9,14.9,15,15,15.0 qqq
 Turkmenistan,,,,,10.9,10.9,11,11,11,11.0 qqq
 Uganda,6.4,6.8,11.4,10.8,10.8,10.1,10.1,10.1,10.1,10.1 qqq
 Ukraine,11.9,11.7,13,14.6,14.6,14.8,15,15,15.1,15.1 qqq
 United Arab Emirates,10.3,10.9,,,,12.9,12.9,12.9,12.9,12.9 qqq
 United Kingdom,13.6,14.8,15.8,16.1,16,15.4,15.4,15.8,15.9,15.9 qqq
 United States,14.9,15.3,14.9,15.2,15.7,15.8,15.8,15.8,15.8,15.8 qqq
 Uruguay,,11.9,13.4,14.3,14.4,14.4,14.4,14.4,14.4,14.4 qqq
 Uzbekistan,,10.8,10.9,12,12.1,12.2,12.2,12.2,12.2,12.2 qqq
 Vanuatu,,9.1,10.1,11,11.1,11.1,11.1,11.1,11.1,11.1 qqq
 Venezuela (Bolivarian Republic of),,10.2,9.9,12,13,13,13.1,13.1,13.2,13.2 qqq
 Viet Nam,,9.7,10.9,11.5,12.1,12.2,12.3,12.4,12.5,12.5 qqq
 Yemen,,10.3,10.5,10.6,9.9,10.4,10.4,10.4,10.4,10.4 qqq
 Zambia,,,,,10.9,11.1,11.3,11.3,11.3,13.0 qqq
 Zimbabwe,10.2,10.2,10.1,9.7,10.3,10.4,10.6,10.5,10.5,10.5 qqq
